viajes23,monto_sinavion,montoxdia_sinavion,empleado,duracion,inicio_fecha,inicio_hora,fin_fecha,fin_hora,cancelado,destino,tipo_corto,anticipo,comprobación_fecha,dga,unidad
V01257,383.050003,383.050003,E362,1,30/05/2023,10:00:00,30/05/2023,19:00:00,,Nochistlán de Mejía,GC,0,05/06/2023,DG9,Occidente
V05575,383,383,E802,1,30/01/2023,13:30:00,30/01/2023,17:00:00,,Bacalar,GC,0,16/02/2023,DG9,Sureste
V16421,382.9999981,382.9999981,E921,1,10/08/2023,13:00:00,10/08/2023,18:00:00,,Bacalar,GC,0,18/08/2023,DG9,Sureste
V07739,382.9400024,382.9400024,E871,1,04/12/2023,12:00:00,04/12/2023,18:00:00,,Santiago de Anaya,GC,0,18/12/2023,DG9,Sur
V12726,382.8999939,382.8999939,E640,1,02/10/2023,13:30:00,02/10/2023,18:00:00,,Mexicali,GC,0,04/10/2023,DG9,Noroeste
V14437,382.3299866,382.3299866,E891,1,08/09/2023,8:00:00,08/09/2023,19:00:00,,Ayala,CD,0,15/09/2023,DG1,Estrategia
V07703,382,382,E649,1,04/12/2023,15:00:00,04/12/2023,18:00:00,,Tuxpan,GC,0,13/12/2023,DG9,Occidente
V17787,381.9999924,381.9999924,E100,1,11/07/2023,9:00:00,11/07/2023,16:00:00,,Ursulo Galván,GC,0,26/07/2023,DG9,Sur
V05126,381.8800049,381.8800049,E546,1,10/02/2023,8:45:00,10/02/2023,13:00:00,,Culiacán,GC,0,21/02/2023,DG9,Noroeste
V02371,381.8800049,381.8800049,E039,1,28/04/2023,11:00:00,28/04/2023,18:00:00,,San Miguel el Alto,GC,0,04/05/2023,DG9,Occidente
V03879,381.8800049,381.8800049,E473,1,10/03/2023,10:00:00,10/03/2023,17:00:00,,Arandas,GC,0,13/03/2023,DG9,Occidente
V04899,381.8800049,381.8800049,E400,1,16/02/2023,9:00:00,16/02/2023,19:00:00,,Valle de Santiago,GC,0,22/02/2023,DG9,Occidente
V14998,381,381,E544,1,31/08/2023,8:30:00,31/08/2023,18:00:00,,Zapotlanejo,GC,0,07/09/2023,DG9,Occidente
V05806,381,381,E193,1,24/01/2023,12:00:00,24/01/2023,19:00:00,,Romita,GC,0,25/01/2023,DG9,Occidente
V03657,380.7999878,380.7999878,E624,1,16/03/2023,14:00:00,16/03/2023,18:00:00,,Tamazula de Gordiano,GC,0,22/03/2023,DG9,Occidente
V06828,380.7100067,380.7100067,E737,1,14/12/2023,16:00:00,14/12/2023,20:00:00,,Naolinco,GC,0,21/12/2023,DG9,Sur
V02331,380.6799927,380.6799927,E748,1,03/05/2023,9:00:00,03/05/2023,18:00:00,,La Barca,GC,0,31/05/2023,DG9,Occidente
V02787,380.6799927,380.6799927,E181,1,19/04/2023,9:00:00,19/04/2023,19:00:00,,Santa Cruz de Juventino Rosas,GC,0,27/04/2023,DG9,Occidente
V07276,380.6000061,380.6000061,E263,1,07/12/2023,9:00:00,07/12/2023,17:00:00,,Tepalcingo,GC,0,15/12/2023,DG9,Sur
V01794,380.3399963,380.3399963,E300,1,16/05/2023,12:00:00,16/05/2023,20:00:00,,Tamasopo,GC,0,07/07/2023,DG9,Occidente
V03509,380.1700134,380.1700134,E821,1,22/03/2023,9:00:00,22/03/2023,14:00:00,,Nacajuca,GC,0,24/03/2023,DG9,Sureste
V03312,380.0700073,380.0700073,E726,1,25/03/2023,8:00:00,25/03/2023,14:00:00,,Cuautla,CD,0,04/04/2023,DG1,Estrategia
V02335,380,380,E775,1,03/05/2023,9:30:00,03/05/2023,18:30:00,,San Francisco del Rincón,GC,0,08/05/2023,DG9,Occidente
V10806,380,380,E295,1,25/10/2023,8:00:00,25/10/2023,14:00:00,,Teya,GC,0,06/11/2023,DG9,Sureste
V04262,379.9099961,379.9099961,E476,1,02/03/2023,9:00:00,02/03/2023,17:00:00,,Nochistlán de Mejía,GC,0,07/03/2023,DG9,Occidente
V06241,379.8999939,379.8999939,E352,1,27/12/2023,8:30:00,27/12/2023,18:00:00,,Salvatierra,CD,0,28/12/2023,DG1,Estrategia
V17115,379.8999939,379.8999939,E640,1,27/07/2023,10:00:00,27/07/2023,16:00:00,,Mexicali,GC,0,01/08/2023,DG9,Noroeste
V02904,379.5,379.5,E473,1,14/04/2023,10:00:00,14/04/2023,18:00:00,,Arandas,GC,0,20/04/2023,DG9,Occidente
V17780,378.9999924,378.9999924,E898,1,12/07/2023,8:00:00,12/07/2023,18:00:00,,Tepeyahualco,GC,0,25/07/2023,DG9,Sur
V02386,378.8699951,378.8699951,E409,1,28/04/2023,11:35:00,28/04/2023,18:00:00,,Tlajomulco de Zuñiga,GC,0,24/05/2023,DG9,Occidente
V03279,378.8699951,378.8699951,E865,1,28/03/2023,10:00:00,28/03/2023,14:00:00,,Villahermosa,GC,0,05/04/2023,DG9,Sureste
V17148,378.449997,378.449997,E039,1,26/07/2023,10:30:00,26/07/2023,19:00:00,,Cuquío,GC,0,08/08/2023,DG9,Occidente
V00897,378.3800049,378.3800049,E730,1,08/06/2023,8:00:00,08/06/2023,17:30:00,,Madero,GC,0,15/06/2023,DG9,Occidente
V14311,378.3800049,378.3800049,E629,1,11/09/2023,12:00:00,11/09/2023,18:00:00,,San Martín Texmelucan,GC,0,15/09/2023,DG9,Sur
V00497,378.2799988,378.2799988,E817,1,20/06/2023,9:00:00,20/06/2023,17:00:00,,Mocorito,GC,0,29/06/2023,DG9,Noroeste
V00491,378.2799988,378.2799988,E751,1,20/06/2023,10:00:00,20/06/2023,14:00:00,,Acolman,GC,0,03/07/2023,DG9,Sur
V16358,377.9199982,377.9199982,E181,1,10/08/2023,9:00:00,10/08/2023,18:00:00,,Valle de Santiago,GC,0,17/08/2023,DG9,Occidente
V15931,377.5000057,377.5000057,E622,1,17/08/2023,8:00:00,17/08/2023,18:00:00,,Salvatierra,CD,0,28/08/2023,DG1,Estrategia
V11477,377.3099976,377.3099976,E819,1,18/10/2023,12:00:00,18/10/2023,17:00:00,,Calera,GC,0,08/11/2023,DG9,Occidente
V16339,377,377,E911,1,11/08/2023,7:00:00,11/08/2023,19:00:00,,Santiago Pinotepa Nacional,GC,0,15/08/2023,DG9,Sur
V06469,376.8000031,376.8000031,E422,1,20/12/2023,12:00:00,20/12/2023,18:00:00,,Río Bravo,GC,500,26/12/2023,DG9,Norte
